system_id,word,pos
4,//////,FW
4,備註,VE
4,停電,VH
4,跟,P
4,缺,VJ
4,電,Na
4,是,SHI
4,兩回事,Na
5,媒體,Na
5,來源,Na
5,記者,Na
5,署名,VC
5,黃建豪,Nb
5,完整,VH
5,新聞,Na
5,標題,Na
5,趙少康,Nb
5,辯論會,Na
5,出奇,VH
5,招年,DM
5,薪水,Na
5,不,D
5,領,VC
5,副總統,Na
5,官邸,Nc
5,當,VG
5,青年,Na
5,住宅,Na
5,完整,VH
5,新聞,Na
5,內文,Na
5,國民黨,Nb
5,副總統,Na
5,候選人,Na
5,趙少康,Nb
5,今日,Nd
5,於,P
5,副總統,Na
5,電視,Na
5,辯論會,Na
5,期間,Na
5,頻繁,VH
5,出招,VA
5,，,COMMACATEGORY
5,喊出,VE
5,若,Cbb
5,他,Nh
5,當選,VG
5,，,COMMACATEGORY
5,未來,Nd
5,年,Na
5,副總統,Na
5,的,DE
5,薪水毛,Na
5,不要,D
5,，,COMMACATEGORY
5,甚至,D
5,會,D
5,副總統,Na
5,官邸,Nc
5,捐出,VD
5,做為,VG
5,青年,Na
5,住宅,Na
5,，,COMMACATEGORY
5,不僅,Cbb
5,免費,VH
5,，,COMMACATEGORY
5,水,Na
5,電費,Na
5,還,D
5,由,P
5,他,Nh
5,個人,Nh
5,負擔,VC
5,趙少康,Nb
5,表示,VE
5,，,COMMACATEGORY
5,民進黨,Nb
5,總痛,Na
5,候選人,Na
5,賴清德,Nb
5,直說,VE
5,，,COMMACATEGORY
5,若,Cbb
5,他,Nh
5,當選,VG
5,，,COMMACATEGORY
5,將來,Nd
5,會,D
5,功,Na
5,高震主,Na
5,等,Cab
5,，,COMMACATEGORY
5,但,Cbb
5,賴清德,Nb
5,也,D
5,讀,VC
5,過,Di
5,憲法,Na
5,，,COMMACATEGORY
5,憲法,Na
5,上,Ncd
5,副總統,Na
5,就,D
5,是,SHI
5,備位,VA
5,元首,Na
5,，,COMMACATEGORY
5,備位,VA
5,要,D
5,怎麼,VH
5,震主,Na
5,既然,Cbb
5,備位,Na
5,元,Nd
5,首,D
5,沒,VJ
5,什麼,Nep
5,事,Na
5,可,D
5,幹,VC
5,，,COMMACATEGORY
5,他,Nh
5,在,P
5,這裡,Ncd
5,宣布,VE
5,，,COMMACATEGORY
5,他們,Nh
5,當選,VG
5,以後,Ng
5,，,COMMACATEGORY
5,未來,Nd
5,年,Na
5,副總統,Na
5,的,DE
5,薪水毛,Na
5,不,D
5,要,VC
5,，,COMMACATEGORY
5,福利,Na
5,也,D
5,通通,D
5,不要,D
5,趙少康,Nb
5,說,VE
5,，,COMMACATEGORY
5,台北市,Nc
5,仁愛路,Nc
5,的,DE
5,副總統,Na
5,官邸,Nc
5,，,COMMACATEGORY
5,前副總統,Na
5,呂秀蓮,Nb
5,在位,VH
5,期間,Na
5,，,COMMACATEGORY
5,曾,D
5,請,VF
5,他,Nh
5,去,VCL
5,過,Di
5,，,COMMACATEGORY
5,地方,Na
5,滿,VH
5,大,VH
5,地點,Na
5,還,D
5,不錯,VH
5,，,COMMACATEGORY
5,他,Nh
5,也,D
5,不住,D
5,，,COMMACATEGORY
5,他,Nh
5,要,D
5,拿出來,VB
5,做,VG
5,青年,Na
5,住宅,Na
5,，,COMMACATEGORY
5,裡面,Ncd
5,勉強,VF
5,可以,D
5,幾,Neu
5,個,Nf
5,個人,Nh
5,，,COMMACATEGORY
5,如果,Cbb
5,再,D
5,按照,P
5,賴清德,Nb
5,老家,Nc
5,那樣,VH
5,的,DE
5,違建,Na
5,蓋起來,VB
5,，,COMMACATEGORY
5,那,Nep
5,院子,Na
5,很,Dfa
5,大,VH
5,，,COMMACATEGORY
5,起碼,Da
5,可以,D
5,容納,VJ
5,個,Di
